=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN                                      --
├─Sequential: 1-1                        --
│    └─Conv2d: 2-1                       1,792
│    └─GroupNorm: 2-2                    128
│    └─ReLU: 2-3                         --
│    └─Conv2d: 2-4                       36,928
│    └─GroupNorm: 2-5                    128
│    └─ReLU: 2-6                         --
│    └─MaxPool2d: 2-7                    --
│    └─Conv2d: 2-8                       73,856
│    └─GroupNorm: 2-9                    256
│    └─ReLU: 2-10                        --
│    └─Conv2d: 2-11                      147,584
│    └─GroupNorm: 2-12                   256
│    └─ReLU: 2-13                        --
│    └─MaxPool2d: 2-14                   --
│    └─Conv2d: 2-15                      295,168
│    └─GroupNorm: 2-16                   512
│    └─ReLU: 2-17                        --
│    └─Conv2d: 2-18                      590,080
│    └─GroupNorm: 2-19                   512
│    └─ReLU: 2-20                        --
│    └─Conv2d: 2-21                      590,080
│    └─GroupNorm: 2-22                   512
│    └─ReLU: 2-23                        --
│    └─MaxPool2d: 2-24                   --
│    └─Conv2d: 2-25                      1,180,160
│    └─GroupNorm: 2-26                   1,024
│    └─ReLU: 2-27                        --
│    └─Conv2d: 2-28                      2,359,808
│    └─GroupNorm: 2-29                   1,024
│    └─ReLU: 2-30                        --
│    └─Conv2d: 2-31                      2,359,808
│    └─GroupNorm: 2-32                   1,024
│    └─ReLU: 2-33                        --
│    └─MaxPool2d: 2-34                   --
├─Sequential: 1-2                        --
│    └─Linear: 2-35                      8,392,704
│    └─ReLU: 2-36                        --
│    └─Dropout: 2-37                     --
│    └─Linear: 2-38                      16,781,312
│    └─ReLU: 2-39                        --
│    └─Dropout: 2-40                     --
│    └─Linear: 2-41                      4,097,000
│    └─ReLU: 2-42                        --
│    └─Dropout: 2-43                     --
│    └─Linear: 2-44                      14,014
=================================================================
Total params: 36,925,670
Trainable params: 36,925,670
Non-trainable params: 0
=================================================================
TRAINING - Epoch 0 Batch 0: loss 0.04925793036818504, f1 0.121,  prec 0.071, rec 0.418
TRAINING - Epoch 192 Batch 40: loss 0.014815018512308598, f1 0.64,  prec 0.798, rec 0.534
TRAINING - Epoch 192 Batch 50: loss 0.013924237340688705, f1 0.658,  prec 0.734, rec 0.596
VALIDATION - Epoch 192 Batch 0: loss 0.024275775998830795, f1 0.503, prec 0.696, rec 0.393
VALIDATION - Epoch 192 Batch 10: loss 0.03058682754635811, f1 0.491, prec 0.618, rec 0.407
VALIDATION - Epoch 192 Batch 20: loss 0.022728128358721733, f1 0.527, prec 0.716, rec 0.417
TRAINING - Epoch 193 Batch 0: loss 0.015496844425797462, f1 0.59,  prec 0.667, rec 0.53
TRAINING - Epoch 193 Batch 10: loss 0.015385324135422707, f1 0.549,  prec 0.741, rec 0.436
TRAINING - Epoch 193 Batch 20: loss 0.014231057837605476, f1 0.541,  prec 0.75, rec 0.423
TRAINING - Epoch 193 Batch 30: loss 0.015201718546450138, f1 0.566,  prec 0.772, rec 0.446
TRAINING - Epoch 193 Batch 40: loss 0.020561665296554565, f1 0.539,  prec 0.804, rec 0.405
TRAINING - Epoch 193 Batch 50: loss 0.01574755273759365, f1 0.605,  prec 0.735, rec 0.515
VALIDATION - Epoch 193 Batch 0: loss 0.02971302717924118, f1 0.363, prec 0.683, rec 0.247
VALIDATION - Epoch 193 Batch 10: loss 0.024524027481675148, f1 0.497, prec 0.736, rec 0.375
VALIDATION - Epoch 193 Batch 20: loss 0.024378513917326927, f1 0.507, prec 0.694, rec 0.4
TRAINING - Epoch 194 Batch 0: loss 0.014145741239190102, f1 0.61,  prec 0.783, rec 0.5
TRAINING - Epoch 194 Batch 10: loss 0.015792829915881157, f1 0.612,  prec 0.77, rec 0.507
TRAINING - Epoch 194 Batch 20: loss 0.016054123640060425, f1 0.573,  prec 0.738, rec 0.468
TRAINING - Epoch 194 Batch 30: loss 0.014470716938376427, f1 0.515,  prec 0.75, rec 0.392
TRAINING - Epoch 194 Batch 40: loss 0.015805762261152267, f1 0.631,  prec 0.692, rec 0.58
TRAINING - Epoch 194 Batch 50: loss 0.02360275574028492, f1 0.388,  prec 0.92, rec 0.246
VALIDATION - Epoch 194 Batch 0: loss 0.02197638899087906, f1 0.443, prec 0.755, rec 0.313
VALIDATION - Epoch 194 Batch 10: loss 0.02078092098236084, f1 0.533, prec 0.732, rec 0.419
VALIDATION - Epoch 194 Batch 20: loss 0.02372448518872261, f1 0.455, prec 0.656, rec 0.348
TRAINING - Epoch 195 Batch 0: loss 0.016503488644957542, f1 0.614,  prec 0.791, rec 0.502
TRAINING - Epoch 195 Batch 10: loss 0.014413881115615368, f1 0.497,  prec 0.792, rec 0.362
TRAINING - Epoch 195 Batch 20: loss 0.013097619637846947, f1 0.586,  prec 0.757, rec 0.479
TRAINING - Epoch 195 Batch 30: loss 0.015954095870256424, f1 0.605,  prec 0.73, rec 0.516
TRAINING - Epoch 195 Batch 40: loss 0.015469742007553577, f1 0.575,  prec 0.736, rec 0.472
TRAINING - Epoch 195 Batch 50: loss 0.015728702768683434, f1 0.655,  prec 0.78, rec 0.564
VALIDATION - Epoch 195 Batch 0: loss 0.024760553613305092, f1 0.391, prec 0.736, rec 0.266
VALIDATION - Epoch 195 Batch 10: loss 0.026776161044836044, f1 0.486, prec 0.779, rec 0.353
VALIDATION - Epoch 195 Batch 20: loss 0.03219597786664963, f1 0.407, prec 0.698, rec 0.287
TRAINING - Epoch 196 Batch 0: loss 0.015901178121566772, f1 0.573,  prec 0.831, rec 0.437
TRAINING - Epoch 196 Batch 10: loss 0.014528066851198673, f1 0.638,  prec 0.753, rec 0.553
TRAINING - Epoch 196 Batch 20: loss 0.016248514875769615, f1 0.576,  prec 0.797, rec 0.451
TRAINING - Epoch 196 Batch 30: loss 0.014623095281422138, f1 0.644,  prec 0.748, rec 0.565
TRAINING - Epoch 196 Batch 40: loss 0.015329297631978989, f1 0.605,  prec 0.747, rec 0.508
TRAINING - Epoch 196 Batch 50: loss 0.013469034805893898, f1 0.599,  prec 0.796, rec 0.48
VALIDATION - Epoch 196 Batch 0: loss 0.025603042915463448, f1 0.474, prec 0.594, rec 0.395
VALIDATION - Epoch 196 Batch 10: loss 0.024660971015691757, f1 0.451, prec 0.654, rec 0.344
VALIDATION - Epoch 196 Batch 20: loss 0.02443353272974491, f1 0.448, prec 0.705, rec 0.329
TRAINING - Epoch 197 Batch 0: loss 0.014947189018130302, f1 0.613,  prec 0.76, rec 0.514
TRAINING - Epoch 197 Batch 10: loss 0.014953297562897205, f1 0.539,  prec 0.837, rec 0.397
TRAINING - Epoch 197 Batch 20: loss 0.01832980290055275, f1 0.612,  prec 0.668, rec 0.565
TRAINING - Epoch 197 Batch 30: loss 0.01763037033379078, f1 0.577,  prec 0.796, rec 0.452
TRAINING - Epoch 197 Batch 40: loss 0.014404546469449997, f1 0.689,  prec 0.808, rec 0.601
TRAINING - Epoch 197 Batch 50: loss 0.01643787883222103, f1 0.522,  prec 0.798, rec 0.387
VALIDATION - Epoch 197 Batch 0: loss 0.024757465347647667, f1 0.464, prec 0.783, rec 0.33
VALIDATION - Epoch 197 Batch 10: loss 0.01891389489173889, f1 0.491, prec 0.748, rec 0.366
VALIDATION - Epoch 197 Batch 20: loss 0.022151250392198563, f1 0.453, prec 0.772, rec 0.321
TRAINING - Epoch 198 Batch 0: loss 0.015338476747274399, f1 0.543,  prec 0.794, rec 0.413
TRAINING - Epoch 198 Batch 10: loss 0.014431496150791645, f1 0.633,  prec 0.774, rec 0.535
TRAINING - Epoch 198 Batch 20: loss 0.013026750646531582, f1 0.655,  prec 0.78, rec 0.564
TRAINING - Epoch 198 Batch 30: loss 0.014450880698859692, f1 0.699,  prec 0.811, rec 0.615
TRAINING - Epoch 198 Batch 40: loss 0.012735004536807537, f1 0.6,  prec 0.755, rec 0.498
TRAINING - Epoch 198 Batch 50: loss 0.015088986605405807, f1 0.636,  prec 0.73, rec 0.564
VALIDATION - Epoch 198 Batch 0: loss 0.026333274319767952, f1 0.379, prec 0.674, rec 0.263
VALIDATION - Epoch 198 Batch 10: loss 0.028988167643547058, f1 0.395, prec 0.786, rec 0.264
VALIDATION - Epoch 198 Batch 20: loss 0.02427501417696476, f1 0.536, prec 0.744, rec 0.419
TRAINING - Epoch 199 Batch 0: loss 0.01302840281277895, f1 0.617,  prec 0.8, rec 0.502
TRAINING - Epoch 199 Batch 10: loss 0.015282842330634594, f1 0.626,  prec 0.772, rec 0.526
TRAINING - Epoch 199 Batch 20: loss 0.016640476882457733, f1 0.54,  prec 0.761, rec 0.418
TRAINING - Epoch 199 Batch 30: loss 0.014140100218355656, f1 0.603,  prec 0.77, rec 0.496
TRAINING - Epoch 199 Batch 40: loss 0.017438530921936035, f1 0.596,  prec 0.722, rec 0.507
TRAINING - Epoch 199 Batch 50: loss 0.013911668211221695, f1 0.586,  prec 0.901, rec 0.434
VALIDATION - Epoch 199 Batch 0: loss 0.028969965875148773, f1 0.474, prec 0.772, rec 0.342
VALIDATION - Epoch 199 Batch 10: loss 0.031142311170697212, f1 0.455, prec 0.714, rec 0.333
VALIDATION - Epoch 199 Batch 20: loss 0.029995983466506004, f1 0.391, prec 0.701, rec 0.271
TRAINING - Epoch 200 Batch 0: loss 0.016850732266902924, f1 0.611,  prec 0.716, rec 0.533
TRAINING - Epoch 200 Batch 10: loss 0.01597980223596096, f1 0.649,  prec 0.723, rec 0.588
TRAINING - Epoch 200 Batch 20: loss 0.012781539931893349, f1 0.612,  prec 0.773, rec 0.506
TRAINING - Epoch 200 Batch 30: loss 0.015727870166301727, f1 0.62,  prec 0.711, rec 0.55
TRAINING - Epoch 200 Batch 40: loss 0.014867164194583893, f1 0.58,  prec 0.733, rec 0.48
TRAINING - Epoch 200 Batch 50: loss 0.017614319920539856, f1 0.583,  prec 0.86, rec 0.441
VALIDATION - Epoch 200 Batch 0: loss 0.02942686900496483, f1 0.34, prec 0.631, rec 0.233
VALIDATION - Epoch 200 Batch 10: loss 0.023577319458127022, f1 0.42, prec 0.798, rec 0.285
VALIDATION - Epoch 200 Batch 20: loss 0.025852153077721596, f1 0.43, prec 0.716, rec 0.307
TRAINING - Epoch 201 Batch 0: loss 0.013563897460699081, f1 0.58,  prec 0.805, rec 0.453
TRAINING - Epoch 201 Batch 10: loss 0.014629247598350048, f1 0.674,  prec 0.707, rec 0.644
TRAINING - Epoch 201 Batch 20: loss 0.013910703361034393, f1 0.602,  prec 0.833, rec 0.471
TRAINING - Epoch 201 Batch 30: loss 0.014751692302525043, f1 0.56,  prec 0.793, rec 0.432
TRAINING - Epoch 201 Batch 40: loss 0.014958338811993599, f1 0.59,  prec 0.699, rec 0.511
TRAINING - Epoch 201 Batch 50: loss 0.016452817246317863, f1 0.541,  prec 0.803, rec 0.407
VALIDATION - Epoch 201 Batch 0: loss 0.0300464928150177, f1 0.382, prec 0.679, rec 0.266
VALIDATION - Epoch 201 Batch 10: loss 0.02817842923104763, f1 0.446, prec 0.76, rec 0.316
VALIDATION - Epoch 201 Batch 20: loss 0.023338181897997856, f1 0.413, prec 0.725, rec 0.288
TRAINING - Epoch 202 Batch 0: loss 0.013943125493824482, f1 0.505,  prec 0.778, rec 0.373
TRAINING - Epoch 202 Batch 10: loss 0.01585402712225914, f1 0.572,  prec 0.755, rec 0.461
TRAINING - Epoch 202 Batch 20: loss 0.015152327716350555, f1 0.567,  prec 0.711, rec 0.472
TRAINING - Epoch 202 Batch 30: loss 0.011964861303567886, f1 0.638,  prec 0.771, rec 0.544
TRAINING - Epoch 202 Batch 40: loss 0.01360911875963211, f1 0.591,  prec 0.8, rec 0.469
TRAINING - Epoch 202 Batch 50: loss 0.013469921424984932, f1 0.676,  prec 0.784, rec 0.594
VALIDATION - Epoch 202 Batch 0: loss 0.027148375287652016, f1 0.419, prec 0.649, rec 0.309
VALIDATION - Epoch 202 Batch 10: loss 0.02578866109251976, f1 0.441, prec 0.734, rec 0.315
VALIDATION - Epoch 202 Batch 20: loss 0.033974435180425644, f1 0.463, prec 0.818, rec 0.322
TRAINING - Epoch 203 Batch 0: loss 0.01641392521560192, f1 0.597,  prec 0.796, rec 0.478
TRAINING - Epoch 203 Batch 10: loss 0.012919154949486256, f1 0.637,  prec 0.763, rec 0.547
TRAINING - Epoch 203 Batch 20: loss 0.014088916592299938, f1 0.565,  prec 0.796, rec 0.438
TRAINING - Epoch 203 Batch 30: loss 0.015469704754650593, f1 0.627,  prec 0.678, rec 0.584
TRAINING - Epoch 203 Batch 40: loss 0.01575377956032753, f1 0.584,  prec 0.838, rec 0.449
TRAINING - Epoch 203 Batch 50: loss 0.014925914816558361, f1 0.651,  prec 0.773, rec 0.562
VALIDATION - Epoch 203 Batch 0: loss 0.025136489421129227, f1 0.405, prec 0.765, rec 0.276
VALIDATION - Epoch 203 Batch 10: loss 0.02937426045536995, f1 0.368, prec 0.739, rec 0.245
VALIDATION - Epoch 203 Batch 20: loss 0.02444014884531498, f1 0.424, prec 0.735, rec 0.298
TRAINING - Epoch 204 Batch 0: loss 0.01589437760412693, f1 0.576,  prec 0.835, rec 0.439
TRAINING - Epoch 204 Batch 10: loss 0.01406719721853733, f1 0.676,  prec 0.738, rec 0.623
TRAINING - Epoch 204 Batch 20: loss 0.013967984355986118, f1 0.632,  prec 0.822, rec 0.513
TRAINING - Epoch 204 Batch 30: loss 0.016285648569464684, f1 0.618,  prec 0.883, rec 0.476
TRAINING - Epoch 204 Batch 40: loss 0.012789418920874596, f1 0.605,  prec 0.803, rec 0.485
TRAINING - Epoch 204 Batch 50: loss 0.012942193076014519, f1 0.611,  prec 0.784, rec 0.5
VALIDATION - Epoch 204 Batch 0: loss 0.02829550765454769, f1 0.416, prec 0.748, rec 0.288
VALIDATION - Epoch 204 Batch 10: loss 0.023987868800759315, f1 0.505, prec 0.746, rec 0.381
VALIDATION - Epoch 204 Batch 20: loss 0.02907121367752552, f1 0.44, prec 0.739, rec 0.313
TRAINING - Epoch 205 Batch 0: loss 0.013483025133609772, f1 0.577,  prec 0.779, rec 0.458
TRAINING - Epoch 205 Batch 10: loss 0.015421757474541664, f1 0.609,  prec 0.747, rec 0.515
TRAINING - Epoch 205 Batch 20: loss 0.012280947528779507, f1 0.576,  prec 0.825, rec 0.443
TRAINING - Epoch 205 Batch 30: loss 0.015585403889417648, f1 0.64,  prec 0.682, rec 0.603
TRAINING - Epoch 205 Batch 40: loss 0.01645086333155632, f1 0.504,  prec 0.872, rec 0.354
TRAINING - Epoch 205 Batch 50: loss 0.015564359724521637, f1 0.62,  prec 0.708, rec 0.552
VALIDATION - Epoch 205 Batch 0: loss 0.023955848067998886, f1 0.493, prec 0.723, rec 0.375
VALIDATION - Epoch 205 Batch 10: loss 0.029967445880174637, f1 0.462, prec 0.694, rec 0.346
VALIDATION - Epoch 205 Batch 20: loss 0.025207512080669403, f1 0.571, prec 0.75, rec 0.461
TRAINING - Epoch 206 Batch 0: loss 0.012642795220017433, f1 0.657,  prec 0.756, rec 0.581
TRAINING - Epoch 206 Batch 10: loss 0.013192557729780674, f1 0.668,  prec 0.79, rec 0.579
TRAINING - Epoch 206 Batch 20: loss 0.013301977887749672, f1 0.591,  prec 0.794, rec 0.471
TRAINING - Epoch 206 Batch 30: loss 0.014885825105011463, f1 0.609,  prec 0.816, rec 0.486
TRAINING - Epoch 206 Batch 40: loss 0.01605115458369255, f1 0.538,  prec 0.719, rec 0.429
TRAINING - Epoch 206 Batch 50: loss 0.015037596225738525, f1 0.628,  prec 0.819, rec 0.509
VALIDATION - Epoch 206 Batch 0: loss 0.02638007514178753, f1 0.458, prec 0.734, rec 0.333
VALIDATION - Epoch 206 Batch 10: loss 0.02602311596274376, f1 0.492, prec 0.701, rec 0.379
VALIDATION - Epoch 206 Batch 20: loss 0.026697538793087006, f1 0.45, prec 0.732, rec 0.325
TRAINING - Epoch 207 Batch 0: loss 0.01325592864304781, f1 0.638,  prec 0.843, rec 0.513
TRAINING - Epoch 207 Batch 10: loss 0.017946258187294006, f1 0.636,  prec 0.652, rec 0.621
TRAINING - Epoch 207 Batch 20: loss 0.015090638771653175, f1 0.562,  prec 0.793, rec 0.435
TRAINING - Epoch 207 Batch 30: loss 0.015213639475405216, f1 0.627,  prec 0.754, rec 0.537
TRAINING - Epoch 207 Batch 40: loss 0.012126559391617775, f1 0.679,  prec 0.8, rec 0.589
TRAINING - Epoch 207 Batch 50: loss 0.01436771173030138, f1 0.533,  prec 0.803, rec 0.398
VALIDATION - Epoch 207 Batch 0: loss 0.028966763988137245, f1 0.448, prec 0.655, rec 0.341
VALIDATION - Epoch 207 Batch 10: loss 0.02520534209907055, f1 0.48, prec 0.655, rec 0.379
VALIDATION - Epoch 207 Batch 20: loss 0.02863166667521, f1 0.444, prec 0.718, rec 0.322
TRAINING - Epoch 208 Batch 0: loss 0.013730007223784924, f1 0.612,  prec 0.732, rec 0.527
TRAINING - Epoch 208 Batch 10: loss 0.015736717730760574, f1 0.689,  prec 0.74, rec 0.644
TRAINING - Epoch 208 Batch 20: loss 0.014588635414838791, f1 0.609,  prec 0.773, rec 0.502
TRAINING - Epoch 208 Batch 30: loss 0.013203908689320087, f1 0.713,  prec 0.848, rec 0.616
TRAINING - Epoch 208 Batch 40: loss 0.014912757091224194, f1 0.59,  prec 0.775, rec 0.477
TRAINING - Epoch 208 Batch 50: loss 0.016350187361240387, f1 0.546,  prec 0.807, rec 0.412
VALIDATION - Epoch 208 Batch 0: loss 0.026428619399666786, f1 0.426, prec 0.75, rec 0.298
VALIDATION - Epoch 208 Batch 10: loss 0.02757713943719864, f1 0.438, prec 0.71, rec 0.317
VALIDATION - Epoch 208 Batch 20: loss 0.026956066489219666, f1 0.388, prec 0.724, rec 0.265
TRAINING - Epoch 209 Batch 0: loss 0.014020990580320358, f1 0.629,  prec 0.8, rec 0.519
TRAINING - Epoch 209 Batch 10: loss 0.013545033521950245, f1 0.62,  prec 0.775, rec 0.517
TRAINING - Epoch 209 Batch 20: loss 0.014236563816666603, f1 0.623,  prec 0.796, rec 0.512
TRAINING - Epoch 209 Batch 30: loss 0.013901827856898308, f1 0.659,  prec 0.774, rec 0.574
TRAINING - Epoch 209 Batch 40: loss 0.019158978015184402, f1 0.501,  prec 0.826, rec 0.36
TRAINING - Epoch 209 Batch 50: loss 0.015130923129618168, f1 0.598,  prec 0.755, rec 0.496
VALIDATION - Epoch 209 Batch 0: loss 0.02624909020960331, f1 0.433, prec 0.725, rec 0.308
VALIDATION - Epoch 209 Batch 10: loss 0.02664896473288536, f1 0.443, prec 0.828, rec 0.303
VALIDATION - Epoch 209 Batch 20: loss 0.02592010423541069, f1 0.504, prec 0.8, rec 0.368
TRAINING - Epoch 210 Batch 0: loss 0.015159932896494865, f1 0.603,  prec 0.799, rec 0.485
TRAINING - Epoch 210 Batch 10: loss 0.013253509066998959, f1 0.664,  prec 0.741, rec 0.601
TRAINING - Epoch 210 Batch 20: loss 0.012926967814564705, f1 0.615,  prec 0.765, rec 0.515
TRAINING - Epoch 210 Batch 30: loss 0.013451549224555492, f1 0.643,  prec 0.769, rec 0.552
TRAINING - Epoch 210 Batch 40: loss 0.013884983956813812, f1 0.525,  prec 0.762, rec 0.401
TRAINING - Epoch 210 Batch 50: loss 0.015574830584228039, f1 0.664,  prec 0.755, rec 0.593
VALIDATION - Epoch 210 Batch 0: loss 0.025990162044763565, f1 0.534, prec 0.73, rec 0.42
VALIDATION - Epoch 210 Batch 10: loss 0.025119710713624954, f1 0.543, prec 0.627, rec 0.479
VALIDATION - Epoch 210 Batch 20: loss 0.02536633238196373, f1 0.587, prec 0.75, rec 0.482
TRAINING - Epoch 211 Batch 0: loss 0.01322389766573906, f1 0.605,  prec 0.71, rec 0.526
TRAINING - Epoch 211 Batch 10: loss 0.014372659847140312, f1 0.601,  prec 0.79, rec 0.485
TRAINING - Epoch 211 Batch 20: loss 0.014114919118583202, f1 0.623,  prec 0.719, rec 0.549
TRAINING - Epoch 211 Batch 30: loss 0.015781033784151077, f1 0.598,  prec 0.841, rec 0.464
TRAINING - Epoch 211 Batch 40: loss 0.015208949334919453, f1 0.664,  prec 0.737, rec 0.605
TRAINING - Epoch 211 Batch 50: loss 0.014374622143805027, f1 0.687,  prec 0.757, rec 0.628
VALIDATION - Epoch 211 Batch 0: loss 0.02686612866818905, f1 0.447, prec 0.735, rec 0.322
VALIDATION - Epoch 211 Batch 10: loss 0.024351008236408234, f1 0.556, prec 0.709, rec 0.457
VALIDATION - Epoch 211 Batch 20: loss 0.034753452986478806, f1 0.457, prec 0.673, rec 0.345
TRAINING - Epoch 212 Batch 0: loss 0.010908371768891811, f1 0.613,  prec 0.777, rec 0.507
TRAINING - Epoch 212 Batch 10: loss 0.014385264366865158, f1 0.647,  prec 0.802, rec 0.542
TRAINING - Epoch 212 Batch 20: loss 0.015588612295687199, f1 0.504,  prec 0.805, rec 0.367
TRAINING - Epoch 212 Batch 30: loss 0.016412310302257538, f1 0.597,  prec 0.69, rec 0.527
TRAINING - Epoch 212 Batch 40: loss 0.01233764924108982, f1 0.632,  prec 0.84, rec 0.506
TRAINING - Epoch 212 Batch 50: loss 0.015148001722991467, f1 0.619,  prec 0.737, rec 0.533
VALIDATION - Epoch 212 Batch 0: loss 0.02623370848596096, f1 0.429, prec 0.839, rec 0.288
VALIDATION - Epoch 212 Batch 10: loss 0.031819168478250504, f1 0.437, prec 0.79, rec 0.302
VALIDATION - Epoch 212 Batch 20: loss 0.028155647218227386, f1 0.419, prec 0.78, rec 0.287
TRAINING - Epoch 213 Batch 0: loss 0.014641688205301762, f1 0.575,  prec 0.788, rec 0.452
TRAINING - Epoch 213 Batch 10: loss 0.014253766275942326, f1 0.649,  prec 0.811, rec 0.541
TRAINING - Epoch 213 Batch 20: loss 0.014447410590946674, f1 0.592,  prec 0.74, rec 0.494
TRAINING - Epoch 213 Batch 30: loss 0.012405605055391788, f1 0.578,  prec 0.831, rec 0.443
TRAINING - Epoch 213 Batch 40: loss 0.014909438788890839, f1 0.583,  prec 0.752, rec 0.475
TRAINING - Epoch 213 Batch 50: loss 0.016064677387475967, f1 0.611,  prec 0.795, rec 0.496
VALIDATION - Epoch 213 Batch 0: loss 0.02688014693558216, f1 0.399, prec 0.793, rec 0.266
VALIDATION - Epoch 213 Batch 10: loss 0.028903741389513016, f1 0.344, prec 0.698, rec 0.228
VALIDATION - Epoch 213 Batch 20: loss 0.023298151791095734, f1 0.466, prec 0.802, rec 0.328
TRAINING - Epoch 214 Batch 0: loss 0.013942832127213478, f1 0.597,  prec 0.781, rec 0.484
TRAINING - Epoch 214 Batch 10: loss 0.013900103978812695, f1 0.644,  prec 0.816, rec 0.532
TRAINING - Epoch 214 Batch 20: loss 0.015303682535886765, f1 0.646,  prec 0.764, rec 0.559
TRAINING - Epoch 214 Batch 30: loss 0.013668922707438469, f1 0.631,  prec 0.801, rec 0.521
TRAINING - Epoch 214 Batch 40: loss 0.01669704169034958, f1 0.522,  prec 0.857, rec 0.375
TRAINING - Epoch 214 Batch 50: loss 0.014579731039702892, f1 0.614,  prec 0.708, rec 0.542
VALIDATION - Epoch 214 Batch 0: loss 0.02696857787668705, f1 0.52, prec 0.717, rec 0.408
VALIDATION - Epoch 214 Batch 10: loss 0.026084398850798607, f1 0.462, prec 0.73, rec 0.338
VALIDATION - Epoch 214 Batch 20: loss 0.026520006358623505, f1 0.446, prec 0.75, rec 0.317
TRAINING - Epoch 215 Batch 0: loss 0.01471096370369196, f1 0.667,  prec 0.776, rec 0.585
TRAINING - Epoch 215 Batch 10: loss 0.013417926616966724, f1 0.61,  prec 0.714, rec 0.533
TRAINING - Epoch 215 Batch 20: loss 0.012743165716528893, f1 0.6,  prec 0.808, rec 0.477
TRAINING - Epoch 215 Batch 30: loss 0.01580853760242462, f1 0.624,  prec 0.7, rec 0.563
TRAINING - Epoch 215 Batch 40: loss 0.012510199099779129, f1 0.635,  prec 0.827, rec 0.516
TRAINING - Epoch 215 Batch 50: loss 0.013194499537348747, f1 0.636,  prec 0.737, rec 0.559
VALIDATION - Epoch 215 Batch 0: loss 0.027133772149682045, f1 0.422, prec 0.819, rec 0.284
VALIDATION - Epoch 215 Batch 10: loss 0.028571240603923798, f1 0.366, prec 0.673, rec 0.252
VALIDATION - Epoch 215 Batch 20: loss 0.028434524312615395, f1 0.391, prec 0.747, rec 0.264
TRAINING - Epoch 216 Batch 0: loss 0.012605336494743824, f1 0.607,  prec 0.888, rec 0.461
TRAINING - Epoch 216 Batch 10: loss 0.014622206799685955, f1 0.678,  prec 0.818, rec 0.578
TRAINING - Epoch 216 Batch 20: loss 0.013427590020000935, f1 0.603,  prec 0.805, rec 0.482
TRAINING - Epoch 216 Batch 30: loss 0.01719011180102825, f1 0.633,  prec 0.796, rec 0.526
TRAINING - Epoch 216 Batch 40: loss 0.012603666633367538, f1 0.658,  prec 0.847, rec 0.537
TRAINING - Epoch 216 Batch 50: loss 0.013836110010743141, f1 0.632,  prec 0.793, rec 0.525
VALIDATION - Epoch 216 Batch 0: loss 0.030598515644669533, f1 0.453, prec 0.752, rec 0.324
VALIDATION - Epoch 216 Batch 10: loss 0.02189059369266033, f1 0.438, prec 0.71, rec 0.317
VALIDATION - Epoch 216 Batch 20: loss 0.02603122778236866, f1 0.479, prec 0.736, rec 0.354
TRAINING - Epoch 217 Batch 0: loss 0.012930329889059067, f1 0.594,  prec 0.868, rec 0.452
TRAINING - Epoch 217 Batch 10: loss 0.0128356097266078, f1 0.641,  prec 0.773, rec 0.548
TRAINING - Epoch 217 Batch 20: loss 0.013333906419575214, f1 0.618,  prec 0.799, rec 0.504
TRAINING - Epoch 217 Batch 30: loss 0.01430230587720871, f1 0.554,  prec 0.78, rec 0.429
TRAINING - Epoch 217 Batch 40: loss 0.013310720212757587, f1 0.606,  prec 0.767, rec 0.5
TRAINING - Epoch 217 Batch 50: loss 0.012627600692212582, f1 0.668,  prec 0.774, rec 0.588
VALIDATION - Epoch 217 Batch 0: loss 0.027042994275689125, f1 0.426, prec 0.633, rec 0.321
VALIDATION - Epoch 217 Batch 10: loss 0.021752173081040382, f1 0.54, prec 0.727, rec 0.429
VALIDATION - Epoch 217 Batch 20: loss 0.025216279551386833, f1 0.492, prec 0.671, rec 0.389
TRAINING - Epoch 218 Batch 0: loss 0.014334090054035187, f1 0.622,  prec 0.761, rec 0.525
TRAINING - Epoch 218 Batch 10: loss 0.01496779266744852, f1 0.595,  prec 0.731, rec 0.502
TRAINING - Epoch 218 Batch 20: loss 0.012533552013337612, f1 0.662,  prec 0.79, rec 0.57
TRAINING - Epoch 218 Batch 30: loss 0.015238059684634209, f1 0.594,  prec 0.895, rec 0.444
TRAINING - Epoch 218 Batch 40: loss 0.011802846565842628, f1 0.668,  prec 0.772, rec 0.589
TRAINING - Epoch 218 Batch 50: loss 0.013804551213979721, f1 0.616,  prec 0.831, rec 0.489
VALIDATION - Epoch 218 Batch 0: loss 0.029018450528383255, f1 0.487, prec 0.803, rec 0.349
VALIDATION - Epoch 218 Batch 10: loss 0.02695080265402794, f1 0.487, prec 0.752, rec 0.36
VALIDATION - Epoch 218 Batch 20: loss 0.026004362851381302, f1 0.47, prec 0.788, rec 0.335
TRAINING - Epoch 219 Batch 0: loss 0.011923356913030148, f1 0.649,  prec 0.873, rec 0.516
TRAINING - Epoch 219 Batch 10: loss 0.013048323802649975, f1 0.664,  prec 0.759, rec 0.59
TRAINING - Epoch 219 Batch 20: loss 0.013843447901308537, f1 0.564,  prec 0.805, rec 0.434
TRAINING - Epoch 219 Batch 30: loss 0.011955822817981243, f1 0.626,  prec 0.741, rec 0.542
TRAINING - Epoch 219 Batch 40: loss 0.0147709297016263, f1 0.627,  prec 0.818, rec 0.508
TRAINING - Epoch 219 Batch 50: loss 0.013047520071268082, f1 0.597,  prec 0.815, rec 0.471
